config_id,tag,samples,gpu_allocated_gb_mean,gpu_allocated_gb_stdev,gpu_reserved_gb_mean,gpu_reserved_gb_stdev,gpu_peak_allocated_gb_mean,gpu_peak_allocated_gb_stdev,gpu_peak_reserved_gb_mean,gpu_peak_reserved_gb_stdev,gpu_device_used_gb_mean,gpu_device_used_gb_stdev,cpu_rss_gb_mean,cpu_rss_gb_stdev,gpu_active_gb_mean,gpu_active_gb_stdev,gpu_inactive_split_gb_mean,gpu_inactive_split_gb_stdev,gpu_allocation_retries_mean,gpu_allocation_retries_stdev,gpu_oom_count_mean,gpu_oom_count_stdev
FP32-LATE-CCC,actor_backward_end,1,3.704063892364502,0.0,5.0390625,0.0,4.71968936920166,0.0,5.0390625,0.0,5.3702392578125,0.0,16.080535888671875,0.0,3.704063892364502,0.0,0.25687360763549805,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_forward_end,1,2.363788604736328,0.0,2.580078125,0.0,2.4008827209472656,0.0,2.580078125,0.0,2.9112548828125,0.0,16.080535888671875,0.0,2.363788604736328,0.0,0.12644577026367188,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_forward_start,1,1.8572731018066406,0.0,1.970703125,0.0,1.8572731018066406,0.0,1.970703125,0.0,2.3018798828125,0.0,16.080413818359375,0.0,1.8572731018066406,0.0,0.11343002319335938,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_optimizer_end,1,7.389294624328613,0.0,8.79296875,0.0,8.404919624328613,0.0,8.79296875,0.0,9.1241455078125,0.0,16.080535888671875,0.0,7.389294624328613,0.0,0.3860960006713867,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_optimizer_load_start,1,3.704052448272705,0.0,5.0390625,0.0,4.71968936920166,0.0,5.0390625,0.0,5.3702392578125,0.0,16.080535888671875,0.0,3.704052448272705,0.0,0.2568850517272949,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_optimizer_offload_end,1,3.7040529251098633,0.0,8.79296875,0.0,8.404919624328613,0.0,8.79296875,0.0,9.1241455078125,0.0,16.080535888671875,0.0,3.7040529251098633,0.0,0.2568845748901367,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_optimizer_start,1,7.389294147491455,0.0,7.775390625,0.0,7.389294147491455,0.0,7.775390625,0.0,8.1065673828125,0.0,16.080535888671875,0.0,7.389294147491455,0.0,0.3860964775085449,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_update_cleanup,1,1.8572897911071777,0.0,8.79296875,0.0,8.404919624328613,0.0,8.79296875,0.0,9.1241455078125,0.0,16.080535888671875,0.0,1.8572897911071777,0.0,0.11341333389282227,0.0,0.0,0.0,0.0,0.0
FP32-LATE-CCC,actor_update_policy_start,1,1.8572731018066406,0.0,1.970703125,0.0,1.8572731018066406,0.0,1.970703125,0.0,2.3018798828125,0.0,16.080413818359375,0.0,1.8572731018066406,0.0,0.11343002319335938,0.0,0.0,0.0,0.0,0.0
FP32-LATE-GGG,actor_backward_end,1,9.226359844207764,0.0,11.05078125,0.0,10.241985321044922,0.0,11.05078125,0.0,11.3546142578125,0.0,2.042186737060547,0.0,9.226359844207764,0.0,0.8087964057922363,0.0,0.0,0.0,0.0,0.0
FP32-LATE-GGG,actor_forward_end,1,7.88803768157959,0.0,8.927734375,0.0,7.924246788024902,0.0,8.927734375,0.0,9.2315673828125,0.0,2.041942596435547,0.0,7.88803768157959,0.0,1.0377435684204102,0.0,0.0,0.0,0.0,0.0
FP32-LATE-GGG,actor_forward_start,1,7.381827354431152,0.0,8.4921875,0.0,7.381827354431152,0.0,8.4921875,0.0,8.7960205078125,0.0,2.041820526123047,0.0,7.381827354431152,0.0,1.1084070205688477,0.0,0.0,0.0,0.0,0.0
FP32-LATE-GGG,actor_optimizer_end,1,9.226348876953125,0.0,11.05078125,0.0,10.241985321044922,0.0,11.05078125,0.0,11.3546142578125,0.0,2.042186737060547,0.0,9.226348876953125,0.0,0.808807373046875,0.0,0.0,0.0,0.0,0.0
FP32-LATE-GGG,actor_optimizer_start,1,9.226348400115967,0.0,11.05078125,0.0,10.241985321044922,0.0,11.05078125,0.0,11.3546142578125,0.0,2.042186737060547,0.0,9.226348400115967,0.0,0.8088078498840332,0.0,0.0,0.0,0.0,0.0
FP32-LATE-GGG,actor_update_cleanup,1,7.3818440437316895,0.0,11.05078125,0.0,10.241985321044922,0.0,11.05078125,0.0,11.3546142578125,0.0,2.042186737060547,0.0,7.3818440437316895,0.0,1.1083903312683105,0.0,0.0,0.0,0.0,0.0
FP32-LATE-GGG,actor_update_policy_start,1,7.381827354431152,0.0,8.4921875,0.0,7.381827354431152,0.0,8.4921875,0.0,8.7960205078125,0.0,2.041820526123047,0.0,7.381827354431152,0.0,1.1084070205688477,0.0,0.0,0.0,0.0,0.0
