run_id,config_id,repeat,status,ref_param,actor_optimizer,cpu_optimizer,activation,actor_param,step,measured,phase,phase_complete,phase_duration_s,snapshot_count,start_tag,end_tag,start_gpu_allocated_gb,end_gpu_allocated_gb,peak_gpu_allocated_gb,end_minus_start_gpu_allocated_gb,start_gpu_reserved_gb,end_gpu_reserved_gb,peak_gpu_reserved_gb,end_minus_start_gpu_reserved_gb,start_gpu_device_used_gb,end_gpu_device_used_gb,peak_gpu_device_used_gb,end_minus_start_gpu_device_used_gb,start_cpu_rss_gb,end_cpu_rss_gb,peak_cpu_rss_gb,end_minus_start_cpu_rss_gb,allocator_peak_allocated_gb,allocator_peak_reserved_gb,allocated_released_from_peak_gb,reserved_released_from_peak_gb
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,1,False,actor_log_prob,True,1.096364725381136,2,before_actor_log_prob,after_actor_log_prob,5.760929584503174,0.009913444519042969,5.760929584503174,-5.751016139984131,5.869140625,0.041015625,5.869140625,-5.828125,6.1944580078125,0.3663330078125,6.1944580078125,-5.828125,22.958839416503906,22.961891174316406,22.961891174316406,0.0030517578125,5.944553375244141,6.07421875,5.934639930725098,6.033203125
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,1,False,actor_update,True,23.907413084059954,11,before_actor_load,after_actor_offload,0.0098876953125,0.017822265625,6.336964130401611,0.0079345703125,0.041015625,0.06640625,10.10546875,0.025390625,0.3663330078125,0.3995361328125,10.4385986328125,0.033203125,22.962135314941406,34.899898529052734,34.899898529052734,11.937763214111328,8.377046585083008,10.10546875,8.359224319458008,10.0390625
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,1,False,reference_log_prob,True,1.630589783191681,4,before_reference_log_prob,after_reference_offload,0.0098876953125,0.009913444519042969,5.760955333709717,2.574920654296875e-05,0.041015625,0.041015625,6.037109375,0.0,0.3663330078125,0.3663330078125,6.3624267578125,0.0,22.962013244628906,22.962135314941406,22.962135314941406,0.0001220703125,5.907443523406982,6.037109375,5.8975300788879395,5.99609375
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,1,False,rollout,True,5.141944278031588,3,before_rollout,after_rollout_cleanup,0.0019588470458984375,5.760935306549072,5.760958194732666,5.758976459503174,0.021484375,5.869140625,5.892578125,5.84765625,0.2315673828125,6.1944580078125,6.1944580078125,5.962890625,22.77129364013672,22.958473205566406,22.958473205566406,0.1871795654296875,5.806488513946533,5.93359375,0.04555320739746094,0.064453125
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,2,False,actor_log_prob,True,1.0911767818033695,2,before_actor_log_prob,after_actor_log_prob,5.768864154815674,0.01784801483154297,5.768864154815674,-5.751016139984131,5.876953125,0.068359375,5.876953125,-5.80859375,6.2100830078125,0.4014892578125,6.2100830078125,-5.80859375,34.899898529052734,34.899898529052734,34.899898529052734,0.0,5.952487945556641,6.08203125,5.934639930725098,6.013671875
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,2,False,actor_update,True,18.975113220512867,11,before_actor_load,after_actor_offload,0.017822265625,0.017822265625,6.344898700714111,0.0,0.068359375,0.06640625,10.11328125,-0.001953125,0.4014892578125,0.3995361328125,10.4464111328125,-0.001953125,34.900020599365234,34.92704772949219,40.173824310302734,0.027027130126953125,8.377046585083008,10.11328125,8.359224319458008,10.046875
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,2,False,reference_log_prob,True,1.5955313630402088,4,before_reference_log_prob,after_reference_offload,0.017822265625,0.01784801483154297,5.768889904022217,2.574920654296875e-05,0.068359375,0.068359375,6.044921875,0.0,0.4014892578125,0.4014892578125,6.3780517578125,0.0,34.899898529052734,34.899898529052734,34.899898529052734,0.0,5.915378093719482,6.044921875,5.8975300788879395,5.9765625
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,2,False,rollout,True,4.989660799503326,3,before_rollout,after_rollout_cleanup,0.017827987670898438,5.768869876861572,5.768892765045166,5.751041889190674,0.068359375,5.876953125,5.900390625,5.80859375,0.4014892578125,6.2100830078125,6.2335205078125,5.80859375,34.899898529052734,34.899898529052734,34.899898529052734,0.0,5.814423084259033,5.94140625,0.04555320739746094,0.064453125
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,3,True,actor_log_prob,True,1.0946226865053177,2,before_actor_log_prob,after_actor_log_prob,5.768864154815674,0.01784801483154297,5.768864154815674,-5.751016139984131,5.876953125,0.068359375,5.876953125,-5.80859375,6.2100830078125,0.4014892578125,6.2100830078125,-5.80859375,34.92704772949219,34.92704772949219,34.92704772949219,0.0,5.952487945556641,6.08203125,5.934639930725098,6.013671875
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,True,False,False,False,True,3,True,actor_update,True,18.434431098401546,11,before_actor_load,after_actor_offload,0.017822265625,0.017822265625,6.344898700714111,0.0,0.068359375,0.06640625,10.11328125,-0.001953125,0.4014892578125,0.3995361328125,10.4464111328125,-0.001953125,34.92704772949219,34.927574157714844,40.19169616699219,0.00052642822265625,8.377046585083008,10.11328125,8.359224319458008,10.046875
